Informazioni cronologiche,Hai vinto un buono da 30€. Come lo spendi?,Come ti comporti sui social? ,È ora di cena,Pregando di finire in zona gialla,"Quando ti trovi in una situazione nuova, circondat* da persone che vedi per la prima volta",Ti arrabbi soprattutto quando,Cosa ti preoccupa di più del futuro post-COVID?,Che pizza preferisci?,Sei tesserat* o fai vita associativa?,"Misuriamo l'umore, come ti senti ora?",Pensi che questo stato d'animo si prolungherà nel tempo?,"Secondo te, Bolzano ha bisogno di",Come vedi Bolzano?,"Cosa pensi se dico ""Intelligenza Artificiale""?",Quante ore dormi di solito la notte?,Mappa di Bolzano [Dov'è interessante?],Mappa di Bolzano [Dov'è rilassante?],Mappa di Bolzano [Dove ti incontri con gli amici?],Mappa di Bolzano [Dove non andresti?],Commento,Emozioni [Gioia ],Emozioni [Fiducia],Emozioni [Eccitazione],Emozioni [Ansia],Emozioni [Paura],Emozioni [Rabbia],Emozioni [Disgusto],Emozioni [Sorpresa],Emozioni [Tristezza],Rieccoti la mappa! [Rosso (A)],Rieccoti la mappa! [Arancione (B)],Rieccoti la mappa! [Giallo (C)],Rieccoti la mappa! [Verde (D)],Rieccoti la mappa! [Azzurro (E)],Rieccoti la mappa! [Blu (F)],Rieccoti la mappa! [Viola (G)],Luoghi/emozioni,Genere,Età,Luogo di nascita,"Se alla precedente domanda hai riposto Estero (EU) o Estero (no EU), specifica il paese qui sotto",Luogo di residenza,Livello di istruzione,Lingua madre,Lingue parlate,Stato civile,Con quante persone vivi?,Occupazione,Quanto lavori/studi?
20/02/2021 0.09.47,Articoli per la casa,3,Per fortuna vivo con altre persone che se ne occupano,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Se potessi mi smaterializzerei,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La situazione delle persone a me vicine,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Rivedere l'assegnazione delle case popolari",Disordinata ,Può essere una valida alleata degli umani,7,1,1,1,3,,1,2,1,1,1,"1, 3",3,4,3,1,3,3,2,2,2,1,,Donna,41-50,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Part-time
20/02/2021 5.52.31,"Libri, giornali, riviste",6,Per fortuna vivo con altre persone che se ne occupano,"Rimango fedele all'appartamento, il mio habitat del cuore","Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La re-impennata degli agenti inquinanti,Vegetariana,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,Sistemare la viabilità,Interessante ,Può essere una valida alleata degli umani,6,"1, 2, 4, 5",Non so,Non so,Non so,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Uomo,51-60,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
20/02/2021 8.17.32,"Libri, giornali, riviste",7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La re-impennata degli agenti inquinanti,Non mangio pizza,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Chissà,Sistemare la viabilità,Do not disturb,È una questione delicata che dobbiamo gestire,6,1,1,1,4,,1,1,1,3,Non so,Non so,5,1,2,3,5,1,1,Non so,Non so,2,,Donna,51-60,Altro comune Trentino Alto Adige,,Bolzano,"Laurea, Università",Mista,"Italiano, Tedesco",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
20/02/2021 15.05.04,Articoli sportivi,6,Provo sempre nuovi take-away/delivery,Mi gusto uno spettacolo dal vivo,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","In cambiamento, troppo veloce rispetto alle teste di chi la abita. ",Una cosa entusiasmante,6,"1, 4",2,"1, 4",5,,"1, 4",2,"1, 4",Non so,Non so,4,Non so,"1, 4",Non so,3,Non so,"2, 4, 5",4,"1, 2, 4","1, 3","2, 5",,Uomo,41-50,Bolzano,,Bolzano,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner,Lavorator*,Tempo pieno
20/02/2021 17.11.55,Articoli per la casa,5,Per fortuna vivo con altre persone che se ne occupano,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Penso che tutte le persone al potere vogliono fare solo i loro interessi","La mia situazione, La re-impennata degli agenti inquinanti",Non ho particolari preferenze,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Estranea,Può essere una valida alleata degli umani,7,2,"2, 4",2,4,Non c’è nulla da fare/vedere,2,2,Non so,5,Non so,Non so,Non so,Non so,Non so,1,4,3,2,Non so,Non so,Non so,Non lo so,Donna,41-50,Altro comune Trentino Alto Adige,,Preferisco non rispondere,Collegio di istruzione superiore professionale o tecnica,Tedesco,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
20/02/2021 18.42.45,"Libri, giornali, riviste",7,La pizzeria del cuore è in cima alla lista,Mi gusto uno spettacolo dal vivo,"Rompo il ghiaccio, vado a ruota libera",Vedo una persona che getta una lattina a terra,La situazione delle persone a me vicine,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Chissà,Eliminare lo spaccio e la delinquenza,Bella!,Può essere una valida alleata degli umani,5,"1, 2",2,"1, 2","3, 4",,"1, 2","1, 2",Non so,Non so,Non so,Non so,Non so,"1, 2",Non so,2,Non so,2,5,Non so,Non so,Non so,,Donna,41-50,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Tedesco, Inglese, Francese",Sposat*,Con partner e figl*,Lavorator*,Part-time
21/02/2021 3.15.58,"Libri, giornali, riviste",3,La pizzeria del cuore è in cima alla lista,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi",La situazione delle persone a me vicine,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Male,Chissà,"Eliminare lo spaccio e la delinquenza, Rivedere l'assegnazione delle case popolari",Bella,È una questione delicata che dobbiamo gestire,6,3,2,3,1,"Ho dovuto mettere una risosta per riga, ma fosse stato per me non avrei risposto a “Dov’è interessante” e “Dove non andresti”",Non so,3,Non so,Non so,Non so,5,Non so,Non so,1,5,3,Non so,2,3,Non so,1,,Donna,51-60,Bolzano,,Bolzano,Istruzione secondaria/incompleta,Italiano,Italiano,Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
21/02/2021 12.02.32,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La re-impennata degli agenti inquinanti,Marinara,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,"Piantare alberi, Sistemare la viabilità",provinciale e isolata,È una questione delicata che dobbiamo gestire,8,"1, 2","4, 5","1, 2, 4",Non so,,"1, 2, 4",Non so,Non so,Non so,Non so,"1, 2, 3",1,Non so,1,"2, 3",3,4,"2, 4",4,"1, 4",1,"La mia risposta ""rabbia"" é motivata dalla quantitá di traffico o l'assenza di aree verdi e di spazi aperti e transitabili per pedoni e bici nel quartiere europa-novacella e san quirino ( in particolare via milano, via palermo, via torino, via firenze, via roma, viale druso, via s quirino), mentre per quanto riguarda le emozioni ""rabbia, disgusto e tristezza"" sul centro cittá mi riferisco all'inutile costruzione del centro commerciale in via Marconi, all'invivibilitá dei luoghi del cento nei periodi turistici e all'aumentare della quantitá di grandi catene di abbigliamento o altri nel centro storico.",Donna,21-30,Altro comune Trentino Alto Adige,,Bolzano,"Laurea, Università",bilingue italiano-tedesco,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
21/02/2021 13.42.57,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Tedesca,Scenari tipo Terminator,8,1,2,5,4,,1,1,2,4,3,3,Non so,Non so,Non so,1,5,3,4,3,4,3,,Donna,41-50,Italia,,Bolzano,"Laurea, Università",Italiano,Italiano,Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
21/02/2021 16.52.57,"Libri, giornali, riviste",4,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La situazione delle persone a me vicine,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Piantare alberi, Sistemare la viabilità","Chiusa, grigia",È una questione delicata che dobbiamo gestire,6,2,2,3,5,,4,2,Non so,Non so,Non so,Non so,Non so,Non so,Non so,4,"3, 4",5,3,2,"2, 3",3,,Donna,51-60,Estero (no EU),Svizzera,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Inglese, Francese",Vedov*,Da sol*,Lavorator*,Part-time
21/02/2021 20.45.25,"Libri, giornali, riviste",5,Adoro cucinare,"Rimango fedele all'appartamento, il mio habitat del cuore","Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse",Essere incapace di staccarmi da computer e smartphone,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Sistemare la viabilità",Divisa,Può essere una valida alleata degli umani,6,1,1,1,Non so,Abito nel centro. ,"1, 2, 5",Non so,"1, 5",Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Uomo,60+,Estero (no EU),Londra,Bolzano,Istruzione secondaria/completa,Inglese,"Italiano, Inglese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
21/02/2021 21.29.05,"Libri, giornali, riviste",5,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Marinara,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Eliminare lo spaccio e la delinquenza",Bella e seria,Una cosa entusiasmante,7,"1, 2","2, 4, 5","1, 2",Non so,,"1, 2, 3, 4, 5","1, 2, 3, 4, 5",Non so,Non so,Non so,Non so,Non so,Non so,Non so,1,"2, 3, 4",5,"1, 4",2,5,5,,Donna,60+,Bolzano,,Bolzano,"Laurea, Università",Italiano,Italiano,Sposat*,Con partner,Pensionat*,Preferisco non rispondere
21/02/2021 23.33.18,Articoli per la casa,6,Per fortuna vivo con altre persone che se ne occupano,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La situazione delle persone a me vicine,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Piantare alberi, Sistemare la viabilità",Malgovernata,Può essere una valida alleata degli umani,7,"1, 2",2,"1, 3, 4",Non so,,"1, 4",3,"1, 4",5,5,"4, 5",Non so,3,5,5,4,"3, 4","1, 2","3, 4",Non so,Non so,,Uomo,60+,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner,Pensionat*,Non lavoro e non studio
22/02/2021 12.47.56,Articoli per la casa,7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Non ho particolari preferenze,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,Sistemare la viabilità,Chiusa,Può essere una valida alleata degli umani,7,1,Non so,3,5,,3,3,Non so,"4, 5","4, 5",1,Non so,Non so,"1, 5",4,"1, 4","1, 4","2, 3","2, 3",3,5,,Donna,41-50,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Part-time
22/02/2021 15.54.03,"Cosmetica, bellezza, benessere",5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, Scopro che un conoscente non paga le tasse",La re-impennata degli agenti inquinanti,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Piantare alberi, Sistemare la viabilità",Fredda,È una questione delicata che dobbiamo gestire,8,1,"1, 2",1,Non so,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Donna,51-60,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Separat*/Divorziat*,Da sol*,Lavorator*,Tempo pieno
22/02/2021 16.35.05,Macchine fotografiche e altre attrezzature elettroniche,4,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera",Vedo una persona che getta una lattina a terra,La mia situazione,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,un paese di città,Una cosa entusiasmante,6,1,2,1,Non so,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,1,3,2,2,4,4,"4, 5",,Uomo,41-50,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco, Inglese",Single,Con un coinquilin*,Lavorator*,Part-time
22/02/2021 17.41.01,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,La situazione delle persone a me vicine,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Piantare alberi, Sistemare la viabilità",,Può essere una valida alleata degli umani,8,1,1,1,1,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Preferisco non rispondere,41-50,Altro comune Trentino Alto Adige,,Bolzano,Dottorato di ricerca,Tedesco,"Italiano, Tedesco, Inglese",Preferisco non rispondere,Preferisco non rispondere,Lavorator*,Part-time
22/02/2021 19.17.10,Macchine fotografiche e altre attrezzature elettroniche,5,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,Sistemare la viabilità,,Può essere una valida alleata degli umani,8,1,2,1,5,,1,1,1,4,Non so,Non so,4,2,5,2,5,4,2,3,1,1,,Donna,31-40,Estero (no EU),Svizzera ,Recanati ,"Laurea, Università",Italiano,"Italiano, Inglese",Single,Da sol*,Lavorator*,Tempo pieno
22/02/2021 23.28.10,"Cosmetica, bellezza, benessere",6,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,Riqualificare/rimuovere i monumenti di epoca fascista,Noiosa mancante di mostre d'arte di livello,Può essere una valida alleata degli umani,7,2,1,3,5,,Non so,3,Non so,Non so,Non so,Non so,Non so,2,Non so,1,3,3,4,Non so,2,5,,Donna,41-50,Italia,,Bolzano,"Laurea, Università",Italiano,"Tedesco, Inglese",Sposat*,Con partner e figl*,Lavorator*,Part-time
23/02/2021 8.18.43,"Libri, giornali, riviste",6,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La situazione delle persone a me vicine,4 formaggi,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Alla grande,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Inquadrata,È una questione delicata che dobbiamo gestire,6,"1, 5",2,"1, 2, 5",Non so,,"1, 2",Non so,5,2,"1, Non so",Non so,Non so,5,4,5,4,"3, 5",2,2,3,Non so,,Uomo,21-30,Italia,,Preferisco non rispondere,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese, Spanish",Single,Con più di due coinquilin*,Lavorator*,Tempo pieno
23/02/2021 14.47.40,Macchine fotografiche e altre attrezzature elettroniche,5,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,"Piantare alberi, Sistemare la viabilità",perennemente grigia,Può essere una valida alleata degli umani,4,1,"1, 2",1,5,,Non so,"1, 2",Non so,5,Non so,Non so,Non so,3,1,3,1,2,4,Non so,5,1,,Uomo,60+,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
23/02/2021 15.48.19,Articoli per la casa,3,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, Scopro che un conoscente non paga le tasse",La situazione delle persone a me vicine,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,ignorante,Una cosa entusiasmante,4,"1, 2, 3, 4, 5",2,2,Non so,,"2, 3","2, 3","1, 2",5,Non so,4,Non so,4,5,2,5,1,1,2,3,5,,Uomo,51-60,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
